Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201905,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,37228
202001,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Other,International,G,9344
201102,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,15864
201806,French Bee,BF,French Bee,BF,International,Europe,Deplaned,Other,International,A,646
200710,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,International,A,100
200912,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,International,G,5063
201811,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,7751
201812,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,15515
201705,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Other,International,G,9258
201809,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,10916
201011,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7104
200601,US Airways,US,US Airways,US,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29907
200902,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,Domestic,US,Thru / Transit,Other,Terminal 1,C,2393
201712,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,5290
201011,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,9583
201610,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,10042
200606,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,C,18229
201608,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,52644
201801,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,25295
201311,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,19005
201609,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,6119
201503,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,19719
201006,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,7183
201606,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,6358
200912,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,9368
201911,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,40
200702,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,3493
201607,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Other,International,A,5908
201012,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,13436
201802,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,323462
201308,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,8845
202101,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,289
201612,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,G,133
201507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6753
200604,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,2959
201410,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,18321
201608,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,4586
201611,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,5753
200603,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4514
201806,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Other,International,G,8989
201701,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,1
201507,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10316
201401,US Airways,US,US Airways,US,Domestic,US,Deplaned,Other,Terminal 1,B,64876
200601,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,40247
201803,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,9612
201206,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,16375
201608,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,375
201510,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,6470
201505,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,18052
201808,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,265772
201801,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,45086
201502,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,2656
200904,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,10861
201102,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,G,7928
201911,El Al Israel Airlines LTD.,LY,El Al Israel Airlines LTD.,LY,International,Middle East,Enplaned,Other,International,A,1913
201603,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,61855
201303,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,866
200803,US Airways,US,US Airways,US,Domestic,US,Deplaned,Other,Terminal 1,B,68830
200905,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,12854
200602,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Thru / Transit,Other,International,G,248
201804,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Other,International,G,6062
201912,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,15260
201909,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,12357
200909,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,G,28
201006,Mesaba Airlines,XJ,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,76
201210,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,16440
200902,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,10520
201710,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,8026
200803,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,Terminal 1,B,3261
200911,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,8439
201505,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,77277
201104,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,9713
200910,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Other,Terminal 3,E,2436
201704,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,14379
200708,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,5318
201707,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,65172
201705,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,88524
201705,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,6091
201901,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11286
201105,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,Terminal 1,C,7290
201307,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,8163
200610,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,Terminal 1,B,3537
201008,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,Terminal 3,E,34774
201104,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Thru / Transit,Other,International,G,448
201611,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,11526
201502,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,11207
202009,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,29686
201805,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Other,International,G,9550
200508,Mesa Airlines,YV,US Airways,US,Domestic,US,Enplaned,Other,Terminal 1,B,2546
201310,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,10656
200910,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,4061
201310,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Other,International,A,4056
201209,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5027
201607,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,20733
201710,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,13941
201706,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,22679
202003,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,3342
200604,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,7833
202101,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,372
201807,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,A,1380
201909,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,E,14141
200809,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,15849
200712,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,9210
200806,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,7948
201701,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10318
201111,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,19779
201306,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,297792
201908,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,24778
201512,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6837
201508,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,75292
201705,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,6763
200803,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,9284
201103,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,8461
201407,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,7570
201808,United Airlines,UA,United Airlines,UA,International,Middle East,Deplaned,Other,International,G,10154
200510,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,33214
201801,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,15554
201009,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,8507
201609,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,7039
201010,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,3242
200811,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,8307
200808,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,17607
200704,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Other,International,G,27204
201302,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,103996
201212,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Other,International,G,65614
200911,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,16160
200904,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,9921
201803,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6801
201612,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,30756
201704,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,7190
201701,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,28660
200607,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,11729
201812,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,A,12015
202001,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,E,7351
201412,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Deplaned,Other,Terminal 1,B,52
201510,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,164943
201610,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,201499
201208,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,6100
201606,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Other,International,G,4257
201708,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,22073
201807,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,G,2164
201003,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Thru / Transit,Other,International,G,340
201404,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,88636
202003,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Other,International,G,663
202011,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,168
201808,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Other,International,G,2915
201206,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,5087
201609,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,67049
201909,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,100
201809,Jazz Aviation,QK,Air Canada,AC,International,Canada,Enplaned,Other,International,G,6931
201903,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,444824
201203,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,10967
201107,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,E,22549
200812,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,International,G,5251
201512,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,7184
201901,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,9006
201509,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,17359
200705,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Enplaned,Other,International,A,4268
201603,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,3045
201209,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,7567
201911,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,79300
200612,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,8853
200909,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,5668
200703,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Other,International,G,74575
201010,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,9888
200810,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,102339
201003,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,10380
201110,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,11427
201107,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,13702
201807,Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Deplaned,Other,International,A,4400
201211,US Airways,US,US Airways,US,Domestic,US,Enplaned,Other,Terminal 1,B,66682
201002,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,11651
201912,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10099
201910,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10053
200609,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,8864
201510,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,International,G,610
202103,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,774
201611,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,17706
201407,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,9060
201002,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,5740
201206,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,E,20815
201103,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,International,A,109163
200905,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,13090
201407,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,7088
201406,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7867
201611,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,17021
201712,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,287248
201409,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,72558
201109,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,9606
202002,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,7209
200801,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 3,E,2880
201608,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,2564
201902,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,109460
200706,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,14662
201908,Norwegian Air UK Ltd,DI,Norwegian Air UK Ltd,DI,International,Europe,Enplaned,Other,International,A,6625
201905,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,9064
200905,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,G,6243
201108,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,6650
200706,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,19128
201205,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,International,G,40256
201710,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,14118
202012,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Other,International,A,2995
200604,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,9566
201312,US Airways,US,US Airways,US,Domestic,US,Enplaned,Other,Terminal 1,B,70738
201902,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,9291
200511,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,9649
201012,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,International,G,2263
202012,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 2,D,7024
201607,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,44
201909,Finnair,AY,Finnair,AY,International,Europe,Deplaned,Other,International,A,3605
200703,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,11874
201102,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,6175
201304,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,9085
201104,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,16716
201811,Finnair,AY,Finnair,AY,International,Europe,Enplaned,Other,International,A,1464
201107,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,7231
201812,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,27131
201805,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,473437
201207,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,12537
201605,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,7522
201007,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,7308
201104,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,4855
201203,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,32334
201908,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,10502
200704,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,146290
201602,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,6344
201804,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,307008
201603,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,4693
202006,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,G,1032
200601,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4680
201906,Finnair,AY,Finnair,AY,International,Europe,Enplaned,Other,International,A,4360
201206,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,3658
201502,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,7343
201901,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Other,International,G,9202
200812,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 1,B,39490
201405,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 1,B,6351
201903,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,8875
200510,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,Domestic,US,Enplaned,Other,Terminal 1,C,48977
201007,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,19189
200612,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 3,E,3579
200803,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Other,International,G,29641
200807,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Thru / Transit,Other,International,G,1005
200905,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,381242
201807,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Other,International,G,3342
201706,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,183251
201307,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,8771
200609,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,International,G,1905
201411,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,10591
202001,French Bee,BF,French Bee,BF,International,Europe,Thru / Transit,Other,International,A,197
201807,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,176767
201002,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,42129
200912,US Airways,US,US Airways,US,Domestic,US,Enplaned,Other,Terminal 1,B,59770
200811,Jet Airways,9W,Jet Airways,9W,International,Asia,Deplaned,Other,International,A,5216
201707,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,511281
202103,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,12347
200808,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,International,A,94986
201901,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,International,G,487
201408,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7946
201807,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,14518
201012,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,13676
201007,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,16377
201902,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Other,International,G,6008
201203,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,388088
201207,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,E,22678
201411,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,E,65
200911,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4357
200507,US Airways,US,US Airways,US,Domestic,US,Deplaned,Low Fare,Terminal 1,B,38951
